ArraySize,selectionSort (0 to 5),selectionSort (0 to 4000),selectionSort (almost sorted),selectionSort (reversed),bubbleSort (0 to 5),bubbleSort (0 to 4000),bubbleSort (almost sorted),bubbleSort (reversed),binaryInsertionSort (0 to 5),binaryInsertionSort (0 to 4000),binaryInsertionSort (almost sorted),binaryInsertionSort (reversed),countingSort (0 to 5),countingSort (0 to 4000),countingSort (almost sorted),countingSort (reversed),radixSort (0 to 5),radixSort (0 to 4000),radixSort (almost sorted),radixSort (reversed),heapSort (0 to 5),heapSort (0 to 4000),heapSort (almost sorted),heapSort (reversed),quickSort (0 to 5),quickSort (0 to 4000),quickSort (almost sorted),quickSort (reversed),mergeSort (0 to 5),mergeSort (0 to 4000),mergeSort (almost sorted),mergeSort (reversed)
100,5488,7101,4616,5003,7990,9391,5106,4238,7939,8276,2443,9752,530,9215,703,587,1263,1457,870,1672,4585,4962,4719,3881,2736,4464,3058,1339,18125,18483,16944,15967
1100,344698,375446,329888,351407,490393,581843,319524,490003,511805,619820,47800,1118737,4840,14815,6295,5995,15138,8665,12221,7877,67988,81797,71311,67109,30934,64358,23041,10683,156317,166814,137868,128991
2100,1129424,1210723,1115420,1199308,1566294,1814501,1048393,1712295,1754491,2034892,92649,3904306,7398,16384,11922,10493,16070,13390,14164,12802,125706,161378,132762,124894,56148,125318,40345,18659,277478,319972,251296,239555
3100,2399654,2519644,2372040,2579836,3336171,3861592,2198911,3688028,3817787,4346603,142667,8423376,10369,20408,16590,15674,20984,19179,20205,18334,183765,247589,197528,186132,80201,186326,58375,30340,398290,468981,364960,354833
4100,4138101,4327125,4157253,4493609,5848782,6779039,3813910,6445469,6550668,7528391,216981,14706857,14747,25336,22255,21510,26774,25072,27720,24383,243986,337964,262117,256528,106189,250111,138968,36786,523871,619303,482052,472601
